subjectid,flanker_rt,flanker_accuracy,flanker_error_rate,stroop_rt,stroop_accuracy,stroop_error_rate,sart_rt,sart_accuracy,sart_error_rate
1,378.2206896551724,0.9724137931034482,0.02758620689655178,747.2805755395683,0.9496402877697842,0.05035971223021585,558.6180904522613,0.9849246231155779,0.015075376884422065
2,705.2206896551725,0.896551724137931,0.10344827586206895,947.6974789915967,0.9747899159663865,0.025210084033613467,351.96491228070175,0.9005847953216374,0.09941520467836262
3,456.07586206896553,0.9655172413793104,0.03448275862068961,732.0869565217391,0.9927536231884058,0.007246376811594235,352.40425531914894,0.925531914893617,0.07446808510638303
4,376.04137931034484,0.9862068965517241,0.01379310344827589,714.1176470588235,0.9558823529411765,0.044117647058823484,284.26271186440675,0.9067796610169492,0.09322033898305082
5,504.6758620689655,0.993103448275862,0.006896551724137945,661.0583941605839,0.9343065693430657,0.06569343065693434,317.84285714285716,0.9380952380952381,0.06190476190476191
6,547.1862068965518,0.9862068965517241,0.01379310344827589,1059.8045112781954,0.518796992481203,0.48120300751879697,449.6040609137056,0.949238578680203,0.050761421319796995
7,459.09655172413795,0.9793103448275862,0.020689655172413834,1172.4224137931035,0.9827586206896551,0.017241379310344862,434.92118226600985,0.9310344827586207,0.06896551724137934
8,452.2068965517241,0.9862068965517241,0.01379310344827589,951.6350364963504,0.9781021897810219,0.021897810218978075,325.81775700934577,0.9112149532710281,0.08878504672897192
9,447.1655172413793,0.9793103448275862,0.020689655172413834,728.8920863309353,0.9640287769784173,0.03597122302158273,280.61224489795916,0.8928571428571429,0.1071428571428571
10,439.5931034482759,0.9655172413793104,0.03448275862068961,926.8872180451128,0.9097744360902256,0.09022556390977443,330.15942028985506,0.9033816425120773,0.09661835748792269
11,517.4413793103448,1.0,0.0,1100.9489795918366,0.9285714285714286,0.0714285714285714,444.4247311827957,0.9086021505376344,0.09139784946236562
12,447.8689655172414,1.0,0.0,693.6071428571429,1.0,0.0,426.935960591133,0.9852216748768473,0.014778325123152691
13,423.51724137931035,1.0,0.0,839.2296296296296,1.0,0.0,315.0551181102362,0.9291338582677166,0.07086614173228345
14,482.48275862068965,0.9241379310344827,0.07586206896551728,645.3478260869565,0.9202898550724637,0.07971014492753625,295.8201058201058,0.9047619047619048,0.09523809523809523
15,418.0827586206897,0.9517241379310345,0.0482758620689655,807.8507462686567,0.9328358208955224,0.06716417910447758,283.86021505376345,0.9247311827956989,0.07526881720430112
16,477.048275862069,0.9793103448275862,0.020689655172413834,895.0149253731344,0.9776119402985075,0.02238805970149249,318.02010050251255,0.9045226130653267,0.09547738693467334
17,382.82758620689657,0.9793103448275862,0.020689655172413834,593.4928571428571,0.9428571428571428,0.05714285714285716,259.19883040935673,0.8771929824561403,0.1228070175438597
18,408.6275862068965,1.0,0.0,764.2142857142857,0.9785714285714285,0.021428571428571463,381.6601941747573,0.970873786407767,0.029126213592232997
19,483.0551724137931,0.9655172413793104,0.03448275862068961,738.8175182481751,0.9343065693430657,0.06569343065693434,374.8421052631579,0.9022556390977443,0.09774436090225569
20,408.36551724137934,0.9862068965517241,0.01379310344827589,595.2857142857143,0.9571428571428572,0.042857142857142816,485.57377049180326,0.9344262295081968,0.06557377049180324
21,413.8344827586207,0.9862068965517241,0.01379310344827589,936.5839416058394,0.9635036496350365,0.03649635036496346,335.3778801843318,0.9032258064516129,0.09677419354838712
22,485.8758620689655,1.0,0.0,909.7185185185185,0.9925925925925926,0.007407407407407418,378.1039603960396,0.9851485148514851,0.014851485148514865
23,412.68275862068964,0.993103448275862,0.006896551724137945,733.1714285714286,0.9714285714285714,0.02857142857142858,306.0792079207921,0.9108910891089109,0.08910891089108908
24,629.0206896551724,1.0,0.0,877.6992481203008,1.0,0.0,478.807881773399,0.9852216748768473,0.014778325123152691
25,485.9862068965517,0.9793103448275862,0.020689655172413834,746.2482014388489,0.9712230215827338,0.02877697841726623,504.569587628866,0.9510309278350515,0.0489690721649485
26,681.3724137931034,0.9793103448275862,0.020689655172413834,1091.206611570248,0.9834710743801653,0.016528925619834656,438.3177083333333,0.953125,0.046875
27,406.21379310344827,0.9793103448275862,0.020689655172413834,719.4748201438849,0.9640287769784173,0.03597122302158273,346.37914691943126,0.9383886255924171,0.06161137440758291
28,371.25925925925924,0.9777777777777777,0.022222222222222254,599.7338129496403,0.9784172661870504,0.021582733812949617,280.14864864864865,0.9459459459459459,0.05405405405405406
29,501.2068965517241,0.9862068965517241,0.01379310344827589,1273.039603960396,0.9603960396039604,0.03960396039603964,596.7777777777778,0.9735449735449735,0.02645502645502651
