subjectid,flanker_rt,flanker_accuracy,flanker_error_rate,stroop_rt,stroop_accuracy,stroop_error_rate,sart_rt,sart_accuracy,sart_error_rate,stroop_rt_std,stroop_rt_mean_recalc,stroop_rt_median,stroop_congruent_rt,stroop_incongruent_rt,stroop_interference,flanker_rt_std,flanker_rt_mean_recalc,flanker_rt_median,flanker_congruent_rt,flanker_incongruent_rt,flanker_interference
1,378.2206896551724,0.9724137931034482,0.0275862068965517,747.2805755395683,0.9496402877697842,0.0503597122302158,558.6180904522613,0.984924623115578,0.015075376884422,304.9745117819472,745.6616541353384,633.0,675.1304347826087,821.703125,146.57269021739125,69.4972414225884,379.6170212765957,361.0,366.84057971014494,391.8611111111111,25.02053140096615
2,705.2206896551725,0.896551724137931,0.1034482758620689,947.6974789915968,0.9747899159663864,0.0252100840336134,351.9649122807017,0.9005847953216374,0.0994152046783626,594.0030059770795,1095.145038167939,980.0,1027.4927536231885,1170.4354838709678,142.9427302477793,242.97059705158574,666.3538461538461,586.5,648.4328358208955,685.4126984126984,36.979862591802885
3,456.07586206896553,0.9655172413793104,0.0344827586206896,732.0869565217391,0.9927536231884058,0.0072463768115942,352.40425531914894,0.925531914893617,0.074468085106383,330.84364374804613,743.0942028985507,654.5,701.7101449275362,784.4782608695652,82.768115942029,101.17300315458453,458.54285714285714,433.5,448.7916666666667,468.86764705882354,20.07598039215685
4,376.0413793103448,0.986206896551724,0.0137931034482758,714.1176470588235,0.9558823529411764,0.0441176470588234,284.26271186440675,0.9067796610169492,0.0932203389830508,360.713509195231,745.469696969697,638.5,790.5652173913044,696.0793650793651,-94.48585231193931,125.16600579312683,377.56643356643355,348.0,382.54794520547944,372.37142857142857,-10.17651663405087
5,504.6758620689655,0.993103448275862,0.0068965517241379,661.0583941605839,0.9343065693430656,0.0656934306569343,317.8428571428572,0.938095238095238,0.0619047619047619,371.6630519605107,698.6106870229007,593.0,695.0151515151515,702.2615384615384,7.246386946386906,155.1455735427182,506.18055555555554,473.0,468.4861111111111,543.875,75.38888888888891
6,547.1862068965518,0.986206896551724,0.0137931034482758,1059.8045112781954,0.518796992481203,0.4812030075187969,449.6040609137056,0.949238578680203,0.0507614213197969,349.7205995113346,1039.2285714285715,944.0,1021.969696969697,1324.0,302.030303030303,177.26698831775502,530.3636363636364,502.0,506.3150684931507,555.4428571428572,49.127788649706474
7,459.096551724138,0.9793103448275862,0.0206896551724138,1172.4224137931035,0.9827586206896552,0.0172413793103448,434.92118226600985,0.9310344827586208,0.0689655172413793,516.8373148674253,1302.65625,1213.5,1235.7014925373135,1376.1967213114754,140.4952287741619,114.06116804127328,458.63380281690144,433.5,435.5285714285714,481.09722222222223,45.56865079365082
8,452.2068965517241,0.986206896551724,0.0137931034482758,951.6350364963504,0.978102189781022,0.021897810218978,325.81775700934577,0.911214953271028,0.0887850467289719,399.17302179762027,991.8467153284671,907.0,884.1617647058823,1097.9710144927535,213.8092497868712,86.69761876986254,453.958041958042,445.0,439.8,467.5342465753425,27.734246575342468
9,447.1655172413793,0.9793103448275862,0.0206896551724138,728.8920863309353,0.9640287769784172,0.0359712230215827,280.6122448979592,0.8928571428571429,0.1071428571428571,303.8980879698855,735.162962962963,647.0,687.6865671641791,781.9411764705883,94.25460930640918,75.28854526717002,449.48591549295776,439.5,423.7432432432432,477.5,53.75675675675677
10,439.5931034482759,0.9655172413793104,0.0344827586206896,926.8872180451128,0.9097744360902256,0.0902255639097744,330.15942028985506,0.9033816425120772,0.0966183574879226,432.8103365234879,1007.25,889.5,925.7857142857143,1105.5689655172414,179.78325123152706,90.80058563407086,431.95714285714286,409.5,405.63380281690144,459.04347826086956,53.409675443968126
11,517.4413793103448,1.0,0.0,1100.9489795918366,0.9285714285714286,0.0714285714285714,444.4247311827957,0.9086021505376344,0.0913978494623656,645.4990476018893,1301.8691588785048,1080.0,1145.109375,1535.1860465116279,390.07667151162786,90.47681377799293,517.4413793103448,506.0,491.0,544.25,53.25
12,447.8689655172414,1.0,0.0,693.6071428571429,1.0,0.0,426.935960591133,0.9852216748768472,0.0147783251231526,225.76956152821248,693.6071428571429,619.0,629.4714285714285,757.7428571428571,128.2714285714286,75.89578519738744,447.8689655172414,432.0,426.9864864864865,469.63380281690144,42.647316330414924
13,423.5172413793104,1.0,0.0,839.2296296296296,1.0,0.0,315.0551181102362,0.9291338582677166,0.0708661417322834,465.0553671907563,897.4571428571429,721.0,822.1,972.8142857142857,150.71428571428567,61.1119309419059,423.51724137931035,415.0,409.08,438.98571428571427,29.905714285714282
14,482.4827586206897,0.9241379310344828,0.0758620689655172,645.3478260869565,0.9202898550724636,0.0797101449275362,295.8201058201058,0.9047619047619048,0.0952380952380952,298.8920103754515,670.1860465116279,605.0,618.072463768116,730.1166666666667,112.04420289855068,110.88125307595651,490.57462686567163,476.5,460.463768115942,522.5384615384615,62.074693422519545
15,418.0827586206897,0.9517241379310344,0.0482758620689655,807.8507462686567,0.9328358208955224,0.0671641791044775,283.86021505376345,0.9247311827956988,0.0752688172043011,475.7160890870985,889.763358778626,733.0,752.4117647058823,1038.015873015873,285.6041083099907,87.9966186731968,421.1811594202899,413.5,398.3150684931507,446.8615384615385,48.54646996838778
16,477.048275862069,0.9793103448275862,0.0206896551724138,895.0149253731344,0.9776119402985076,0.0223880597014924,318.02010050251255,0.9045226130653268,0.0954773869346733,435.4833548616164,966.7080291970802,883.0,948.9014084507043,985.8636363636364,36.96222791293212,81.29143050567494,479.2676056338028,469.0,444.3478260869565,512.2739726027397,67.92614651578322
17,382.82758620689657,0.9793103448275862,0.0206896551724138,593.4928571428571,0.9428571428571428,0.0571428571428571,259.1988304093568,0.8771929824561403,0.1228070175438597,149.74192928217937,589.6363636363636,551.0,606.7014925373135,572.0461538461539,-34.65533869115961,66.53883408892804,383.8732394366197,380.0,364.22222222222223,404.0857142857143,39.86349206349206
18,408.6275862068965,1.0,0.0,764.2142857142857,0.9785714285714284,0.0214285714285714,381.6601941747573,0.970873786407767,0.0291262135922329,237.30799972294065,763.1751824817518,705.0,733.0869565217391,793.7058823529412,60.61892583120209,51.81041090515418,408.6275862068965,403.0,388.0945945945946,430.0281690140845,41.9335744194899
19,483.0551724137931,0.9655172413793104,0.0344827586206896,738.8175182481751,0.9343065693430656,0.0656934306569343,374.8421052631579,0.9022556390977444,0.0977443609022556,375.55935750258163,763.6,651.5,774.6,752.6,-22.0,123.0366924857854,470.15,445.5,443.4366197183099,497.6376811594203,54.201061441110426
20,408.36551724137934,0.986206896551724,0.0137931034482758,595.2857142857143,0.9571428571428572,0.0428571428571428,485.57377049180326,0.9344262295081968,0.0655737704918032,173.62283228703023,595.1194029850747,549.5,581.9565217391304,609.0923076923077,27.135785953177333,74.92469511415696,409.64335664335664,400.0,381.9583333333333,437.71830985915494,55.75997652582163
21,413.8344827586207,0.986206896551724,0.0137931034482758,936.5839416058394,0.9635036496350364,0.0364963503649634,335.3778801843318,0.9032258064516128,0.0967741935483871,349.8120758137745,956.1940298507462,863.5,903.7826086956521,1011.8307692307692,108.04816053511706,66.90816799870088,414.09090909090907,404.0,396.9166666666667,431.50704225352115,34.590375586854464
22,485.8758620689655,1.0,0.0,909.7185185185184,0.9925925925925926,0.0074074074074074,378.1039603960396,0.9851485148514852,0.0148514851485148,410.70734888851104,960.0503597122303,869.0,914.5633802816901,1007.5441176470588,92.98073736536867,66.38993426452161,485.8758620689655,478.0,480.22222222222223,491.45205479452056,11.229832572298335
23,412.6827586206896,0.993103448275862,0.0068965517241379,733.1714285714286,0.9714285714285714,0.0285714285714285,306.0792079207921,0.9108910891089108,0.089108910891089,234.08396301951018,733.0441176470588,684.0,654.8028169014085,818.5076923076923,163.7048754062838,62.75737217441281,412.875,408.5,401.0945945945946,425.3285714285714,24.23397683397684
